Filters:



"Parcel ID","Address"
="012200263009005000","1209 12TH ST       , Birmingham, AL, 35204"
="012200263009012000","1206 13TH ST N       , Birmingham, AL, 35204"
="012200263010005000","1404 12TH AVE N       , Birmingham, AL, 35204"
="012200263011001000","1307 12TH AVE N       , Birmingham, AL, 35204"
="012200263011016000","1130 14TH ST N       , Birmingham, AL, 35204"
="012200263012003000","1201 12TH AVE       , Birmingham, AL, 35204"
="012200263014026000","368 14TH AVE N       , Birmingham, AL, 35204"
="012200263014027000","370 14TH AVE N       , Birmingham, AL, 35204"
="012200263017005000","428 12TH TER N       , Birmingham, AL, 35204"
="012200263024003000","1127 4TH PL N       , Birmingham, AL, 35204"
="012200264010007000","1317 17TH ST N       , Birmingham, AL, 35204"
="012200264010009000","1726 13TH CT N       , Birmingham, AL, 35204"
="012200264020017000","1224 17TH ST N       , Birmingham, AL, 35204"
="012200264021001000","1621 13TH CT N       , Birmingham, AL, 35204"
="012200264021014000","1312 17TH ST N       , Birmingham, AL, 35204"
="012200264022009000","1317 16TH ST N       , Birmingham, AL, 35204"
="012200264023007000","1622 14TH AVE N       , Birmingham, AL, 35204"
="012200264023008000","1624 14TH AVE N       , Birmingham, AL, 35204"
="012200264023011000","1402 17TH ST N       , Birmingham, AL, 35204"
="012200264025001000","1412 13TH AVE N       , Birmingham, AL, 35204"
="012200264025004000","1508 13TH AVE N       , Birmingham, AL, 35204"
="012200264026001000","1231 15TH ST N       , Birmingham, AL, 35204"
="012200264033001000","1429 12TH AVE N       , Birmingham, AL, 35204"
="012200264033003000","1411 12TH AVE N       , Birmingham, AL, 35204"
="012200264033010000","1115 14TH ST N       , Birmingham, AL, 35204"
="012200264033016000","1412 11TH AVE N       , Birmingham, AL, 35204"
="012200264035005000","1418 12TH AVE N       , Birmingham, AL, 35204"
="012200264035010000","1208 15TH ST N       , Birmingham, AL, 35204"
="012200271013007000","120 16TH AVE N       , Birmingham, AL, 35204"
="012200271017005000","100 15TH CT N       , Birmingham, AL, 35204"
="012200271022012000","118 15TH AVE N       , Birmingham, AL, 35204"
="012200271022015000","124 15TH AVE N       , Birmingham, AL, 35204"
="012200273012007000","1145 6TH ST W       , Birmingham, AL, 35204"
="012200273013002000","405 12TH AVE W       , Birmingham, AL, 35204"
="012200273015006000","222 11TH CT W       , Birmingham, AL, 35204"
="012200273017012000","1110 3RD ST N       , Birmingham, AL, 35204"
="012200273021005000","717 11TH CT W       , Birmingham, AL, 35204"
="012200274010015000","205 15TH AVE W       , Birmingham, AL, 35204"
="012200274018009000","1301 2ND PL N       , Birmingham, AL, 35204"
="012200274021002000","103 13TH AVE N       , Birmingham, AL, 35204"
="012200274023011000","112 BANKHEAD HWY W       , Birmingham, AL, 35204"
="012200274032021000","30 12TH AVE N       , Birmingham, AL, 35204"
="012200274039014000","1140 BANKHEAD HWY N       , Birmingham, AL, 35204"
="012200274040001000","1137 BANKHEAD HWY N       , Birmingham, AL, 35204"
="012200274040003000","208 11TH CT N       , Birmingham, AL, 35204"
="012200274040004000","212 11TH CT N       , Birmingham, AL, 35204"
="012200281013004000","731 21ST AVE W       , Birmingham, AL, 35204"
="012200282011001000","125 1ST ST THOMAS, Birmingham, AL, 35214"
="012200282011013000","220 2ND ST THOMAS, Birmingham, AL, 35214"
="012200282011014000","222 2ND ST THOMAS, Birmingham, AL, 35214"
="012200282022010000","417 4TH ST THOMAS, Birmingham, AL, 35214"
="012200292004002000","110 AVENUE Y       , Birmingham, AL, 35214"
="012200292007004000","912 1ST ST       , Birmingham, AL, 35214"
="012200292008001000","790 1ST ST       , Birmingham, AL, 35214"
="012200292009001000","821 1ST ST       , Birmingham, AL, 35214"
="012200292013003000","715 1ST PL       , Birmingham, AL, 35214"
="012200292013004000","711 1ST PL       , Birmingham, AL, 35214"
="012200292013006000","703 1ST PL       , Birmingham, AL, 35214"
="012200292013008000","125 AVENUE G       , Birmingham, AL, 35214"
="012200292013008001","700 2ND ST       , Birmingham, AL, 35214"
="012200292013011000","122 AVENUE T       , Birmingham, AL, 35214"
="012200292014009000","124 AVENUE U       , Birmingham, AL, 35214"
="012200292015014000","102 AVENUE V       , Birmingham, AL, 35214"
="012200292024006000","216 AVENUE X       , Birmingham, AL, 35214"
="012200292024011000","1116 3RD ST       , Birmingham, AL, 35214"
="012200292024022000","202 AVENUE Y       , Birmingham, AL, 35214"
="012200292025014000","204 AVENUE W       , Birmingham, AL, 35214"
="012200292026006000","217 AVENUE U       , Birmingham, AL, 35214"
="012200292026011000","912 3RD ST       , Birmingham, AL, 35214"
="012200292029008000","207 AVENUE T       , Birmingham, AL, 35214"
="012200292029009000","209 AVENUE T       , Birmingham, AL, 35214"
="012200292030001000","723 2ND ST       , Birmingham, AL, 35214"
="012200292030006000","700 3RD ST       , Birmingham, AL, 35214"
="012200292030006001","704 3RD ST       , Birmingham, AL, 35214"
="012200292030008000","712 3RD ST       , Birmingham, AL, 35214"
="012200292030012000","224 AVENUE T       , Birmingham, AL, 35214"
